Title,pax_min,pax_max,Occasion,Location,time_min,time_max,Price
Sentosa luge,2,8,Date/Friends,Sentosa,1,2,$$
Bake,2,3,Date/Friends,Home,1,2,$
S.E.A Aquarium,2,2,Date,Sentosa,2,2,$$
Karaoke,3,10,Friends,East/West/Central/North,3,4,$$
Universal Studios Singapore,2,10,Date/Friends,Sentosa,6,8,$$$$
Cycling,2,10,Date/Friends,"East,North",3,4,$$
Picnic + fly kite,2,6,Date/Friends,Central,2,4,$
Arcade,2,4,Date/Friends,East/West/Central/North,2,4,$$
Cat/Dog cafe,2,4,Date/Friends,East/West/Central/North,2,4,$$
Ice skating,2,10,Date/Friends,"East,West",2,2,$$
Singapore Flyer,2,2,Date,Central,1,1,$$
Mini golf,2,6,Date/Friends,Central,2,3,$$
Singapore Zoo,2,8,Date/Friends,North,6,8,$$$
Pottery,2,6,Date/Friends,Central,2,4,$$$$
500 piece puzzle,2,2,Date,Home,4,8,$
Adventure Cove,2,10,Date/Friends,Sentosa,6,8,$$
Gardens By the Bay,2,2,Date,Central,2,4,$$
Escape Room,4,8,Friends,Central,1,1,$$
Jewel Canopy Park,2,6,Date/Friends,East,2,4,$$
Glass Painting,2,2,Date,Home,1,2,$
Bowling,2,6,Date/Friends,East/West/Central/North,2,3,$$
Bus to nowhere,2,2,Date,East/West/Central/North,1,2,$
Photobooth,2,4,Date/Friends,East/West/Central/North,0.5,1,$
Baking/Cooking Lesson,2,2,Date,East/West/Central/North,3,4,$$$
The Projector,2,6,Date/Friends,Central,2,3,$$
Singapore Art Museum,2,4,Date/Friends,Central,2,3,$
Ring making,2,2,Date,Central,2,3,$$$$
Tufting,2,4,Date/Friends,Central,2,3,$$$$
Wild Wild Wet,2,8,Date/Friends,East,6,8,$$
Board games cafe,3,6,Friends,"East,Central,North",4,6,$$
Movie marathon,2,6,Date/Friends,East/West/Central/North,4,6,$$
Building Legos,2,2,Date,Home,8,12,$$$$
Building Terrarium,2,6,Date/Friends,Central,2,4,$$
Cafe hopping,2,2,Date,East/West/Central/North,4,6,$$$
Clubbing,2,6,Date/Friends,Central,4,5,$$$
Painting,2,4,Date/Friends,Home,2,4,$
Yoga,2,4,Friends,Home,1,2,$
Hiking,2,6,Date/Friends,"East,Central,North",2,4,$
Goat Farm,2,4,Date/Friends,West,2,4,$
Prawning,2,6,Date/Friends,East/West/North,2,4,$$
Fishing,2,6,Friends,North/Central/East,3,5,$
Snow City,2,4,Date/Friends,West,2,3,$$
Science Centre,2,4,Date/Friends,West,3,5,$
Art Science Museum,2,4,Date/Friends,Central,2,3,$
National Museum of Singapore,2,4,Date/Friends,Central,2,3,$
Glamping,2,4,Date/Friends,East/Central/West,4,16,$$$$
Sneakers Art Jamming Workshop,2,4,Date/Friends,Central,2,3,$$$
Art Jamming with Cats,2,4,Date/Friends,Central,2,3,$$$
Edible Art Jamming,2,4,Date/Friends,Central,2,2,$$$
Hydrodash,4,10,Friends,Sentosa,1,1,$$
iFly,2,4,Date/Friends,Sentosa,1.5,2,$$$$
Golf,2,6,Date/Friends,East/North/Central/Sentosa,2,3,$$$$
WakeBorading/WakeSurfing,2,4,Friends,North/East,1,2,$$$$
High Elements,2,4,Date/Friends,East/West/Central/North,2,3,$$$
Rock Climbing,2,4,Friends,East/Central,1,2,$$$
Superpark,4,6,Friends,Central,6,8,$$
Bungee Jump,2,4,Date/Friends,Sentosa,1,1,$$$$
Giant Swing,2,3,Date/Friends,Sentosa,0.5,0.5,$$$$
Trampoline Park,4,6,Date/Friends,Central/North,1,2,$$
Longboard Experience Class,2,4,Date/Friends,Central,1.5,2,$$$
Singapore Cable Car,2,4,Date/Friends,Sentosa,0.5,0.5,$
Singapore Night Safari,2,6,Date/Friends,North,4,6,$$$
Singapore River Wonders,2,6,Date/Friends,North,4,6,$$
Madame Tussauds Singapore,2,4,Date/Friends,Sentosa,2,3,$$
Trickeye Museum,2,4,Date/Friends,Sentosa,2,3,$$
Scentopia,2,2,Date,Sentosa,1,1,$$$$
Laser Tag,4,8,Friends,Central/West,1,1,$
Paintball,4,8,Friends,Central/West,1,1,$$
Bubble Soccer,4,8,Friends,Sentosa/Central/East/North,2,4,$
Beach Volleyball,,,,,,,
,,,,,,,
